Universities;Total outgoing students;QS ranking 2019 (world);QS ranking 2019 (Italy);ARWU ranking 2019 (world);ARWU ranking 2019 (Italy);Total number of students;% outgoing students
ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;2946;180;4;201-300;5;81183;3,63%
UNIVERSITA DEGLI STUDI DI PADOVA;2109;249;6;201-300;7;59337;3,55%
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA;1933;217;5;151-200;1;100362;1,93%
UNIVERSITA DEGLI STUDI DI TORINO;1732;571-580;15;201-300;8;72468;2,39%
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II;1321;472;11;301-400;9;76384;1,73%
POLITECNICO DI MILANO;1279;156;1;201-300;4;45544;2,81%
UNIVERSITA DEGLI STUDI DI FIRENZE;1146;501-510;13;201-300;6;52569;2,18%
UNIVERSITA DEGLI STUDI DI MILANO;1125;325;7;151-200;2;61627;1,83%
UNIVERSITA DEGLI STUDI DI PALERMO;1038;801-1000;28;601-700;29;40073;2,59%
UNIVERSITA DEGLI STUDI DI CAGLIARI;951;;;801-900;38;25450;3,74%
UNIVERSITA CA' FOSCARI VENEZIA;944;751-800;23;;;20795;4,54%
UNIVERSITA COMMERCIALE LUIGI BOCCONI;911;;;;;13412;6,79%
UNIVERSITA DEGLI STUDI DI SASSARI;890;;;;;13205;6,74%
UNIVERSITA DEGLI STUDI DI PERUGIA;881;751-800;24;401-500;15;23305;3,78%
UNIVERSITA DI PISA;826;422;9;151-200;3;45434;1,82%
UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA;814;801-1000;26;701-800;35;24412;3,33%
UNIVERSITA DEGLI STUDI ROMA TRE;809;801-1000;27;901-1000;43;32499;2,49%
UNIVERSITA DEGLI STUDI DI VERONA;758;801-1000;30;501-600;23;24188;3,13%
UNIVERSITA DEGLI STUDI DI GENOVA;719;701-750;19;401-500;13;32382;2,22%
UNIVERSITA DEGLI STUDI DI TRENTO;702;426;10;401-500;16;16528;4,25%
UNIVERSITA DEGLI STUDI DI SALERNO;693;;;701-800;36;35790;1,94%
POLITECNICO DI TORINO;686;387;8;501-600;18;33115;2,07%
UNIVERSITA DEGLI STUDI DI PAVIA;679;581-590;16;301-400;10;23117;2,94%
UNIVERSITA CATTOLICA DEL SACRO CUORE;668;491;12;401-500;11;39510;1,69%
UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA;642;601-650;17;401-500;14;33752;1,90%
UNIVERSITA DEGLI STUDI DI TRIESTE;633;701-750;21;601-700;31;15239;4,15%
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA;632;511-520;14;501-600;21;29485;2,14%
UNIVERSITA DEGLI STUDI DI CATANIA;626;801-1000;25;601-700;27;41989;1,49%
UNIVERSITA DEGLI STUDI DI PARMA;603;;;601-700;30;25358;2,38%
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI;591;;;;;9184;6,44%
UNIVERSITA DEGLI STUDI DI SIENA;551;701-750;20;501-600;22;16105;3,42%
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO;546;801-1000;29;;;43465;1,26%
UNIVERSITA DEGLI STUDI DI UDINE;482;;;801-900;41;15296;3,15%
UNIVERSITA DEL SALENTO;467;;;901-1000;46;16874;2,77%
UNIVERSITA POLITECNICA DELLE MARCHE;461;;;801-900;37;15449;2,98%
Universita' degli Studi di Urbino Carlo Bo;436;;;801-900;42;14411;3,03%
UNIVERSITA DEGLI STUDI DI NAPOLI L'ORIENTALE;426;;;;;11204;3,80%
UNIVERSITA DEGLI STUDI DI MACERATA;422;;;;;10123;4,17%
UNIVERSITA DEGLI STUDI DI FOGGIA;400;;;;;10470;3,82%
POLITECNICO DI BARI;398;;;501-600;19;9913;4,01%
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI;382;;;701-800;33;25048;1,53%
UNIVERSITA' DEGLI STUDI DI BERGAMO;381;;;;;18734;2,03%
UNIVERSITA DELLA CALABRIA;370;;;801-900;39;26350;1,40%
UNIVERSITA DEGLI STUDI DI FERRARA;360;701-750;18;501-600;20;19287;1,87%
UNIVERSITA DEGLI STUDI DI MESSINA;352;;;801-900;40;23174;1,52%
UNIVERSITA IUAV DI VENEZIA;340;;;;;3959;8,59%
UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA;335;;;901-1000;44;24718;1,36%
UNIVERSITA DEGLI STUDI DELLA TUSCIA;252;;;701-800;34;8352;3,02%
UNIVERSITA DEGLI STUDI DELL'AQUILA;229;;;601-700;28;16446;1,39%
UNIVERSITA DEGLI STUDI DELL'INSUBRIA;217;;;901-1000;45;10648;2,04%
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE;215;;;;;7346;2,93%
UNIVERSITA' CARLO CATTANEO - LIUC;207;;;;;2148;9,64%
UNIVERSITA DEGLI STUDI DI CAMERINO;204;;;;;6790;3,00%
LIBERA UNIVERSITA DI BOLZANO;202;;;701-800;32;3766;5,36%
UNIVERSITA DEGLI STUDI DELLA BASILICATA;189;;;;;6661;2,84%
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO;172;;;;;12992;1,32%
UNIVERSITA DEGLI STUDI DI BRESCIA;166;701-750;22;601-700;25;14394;1,15%
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA;165;;;;;5286;3,12%
LIBERA UNIVERSITA MARIA SS. ASSUNTA DI ROMA;149;;;;;5742;2,59%
UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE;147;;;;;12376;1,19%
UNIVERSITA DEGLI STUDI DI TERAMO;142;;;;;5852;2,43%
UNIVERSITA DEGLI STUDI DEL SANNIO;133;;;;;4991;2,66%
UNIVERSITA DEGLI STUDI DEL MOLISE;127;;;;;7179;1,77%
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM;126;;;;;5794;2,17%
UNIVERSITA DEGLI STUDI NICCOLO CUSANO TELEMATICA ROMA;116;;;;;23252;0,50%
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA;108;;;;;1319;8,19%
UNIVERSITA DELLA VALLE D'AOSTA;89;;;;;1071;8,31%
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO;81;;;;;10828;0,75%
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO;60;;;;;2224;2,70%
UNIVERSITA CAMPUS BIO MEDICO DI ROMA;58;;;;;1870;3,10%
UNIVERSITA DEGLI STUDI DI ENNA KORE;54;;;;;5284;1,02%
UNIVERSITA VITA-SALUTE SAN RAFFAELE;49;;;501-600;24;2740;1,79%
SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA;33;167;2;;;;
SCUOLA NORMALE SUPERIORE;31;175;3;401-500;12;576;5,38%
UNIVERSITA DEGLI STUDI GUGLIELMO MARCONI - TELEMATICA;18;;;;;9521;0,19%
LINK CAMPUS UNIVERSITY;13;;;;;1987;0,65%
